ch_410nm,ch_435nm,ch_460nm,ch_485nm,ch_510nm,ch_535nm,ch_560nm,ch_585nm,ch_610nm,ch_645nm,ch_680nm,ch_705nm,ch_730nm,ch_760nm,ch_810nm,ch_860nm,ch_900nm,ch_940nm,pH,class_label,class_name
0.1062,0.0735,0.0193,0.0441,0.022,0.0053,0.1002,0.1869,0.092,0.3344,0.305,0.3905,0.4144,0.4254,0.5015,0.4674,0.5023,0.4614,4.15,0,Fresh
0.0235,0.0366,0.0785,0.067,0.0186,0.0582,0.0934,0.0225,0.2035,0.2463,0.392,0.3707,0.335,0.3819,0.5015,0.5136,0.4507,0.4929,3.87,0,Fresh
0.0521,0.0156,0.032,0.052,0.0225,0.0409,0.1034,0.0727,0.2203,0.2127,0.3891,0.5285,0.2913,0.4292,0.5258,0.494,0.5068,0.436,4.22,0,Fresh
0.0491,0.0943,0.062,0.0616,0.0378,0.0373,0.0471,0.1173,0.1481,0.3148,0.4992,0.4877,0.4318,0.5431,0.4805,0.4162,0.4461,0.3781,4.13,0,Fresh
0.0536,0.114,0.065,0.0433,0.0924,0.0,0.0861,0.159,0.0593,0.343,0.3144,0.3275,0.4375,0.5843,0.4502,0.4624,0.4021,0.3488,3.62,1,Early-Rot
0.0241,0.0568,0.0356,0.0685,0.0707,0.1119,0.0464,0.0908,0.0964,0.2249,0.3169,0.4215,0.3133,0.4762,0.5361,0.4747,0.5699,0.3541,3.31,1,Early-Rot
0.0,0.1076,0.077,0.0492,0.0683,0.0077,0.2039,0.1169,0.177,0.3119,0.3236,0.3787,0.3238,0.4455,0.5747,0.5443,0.5495,0.3723,3.35,1,Early-Rot
0.0487,0.0562,0.0931,0.0,0.1232,0.0543,0.0508,0.0421,0.0463,0.3192,0.2972,0.2573,0.2835,0.3832,0.5591,0.4244,0.3271,0.3907,3.46,1,Early-Rot
0.0,0.0523,0.0446,0.0763,0.1372,0.1162,0.0592,0.036,0.3596,0.2624,0.2934,0.3589,0.4028,0.398,0.3948,0.403,0.4327,0.3701,3.39,1,Early-Rot
0.0565,0.0451,0.1081,0.0,0.1039,0.1219,0.0,0.086,0.1414,0.1533,0.242,0.2717,0.5269,0.4813,0.53,0.4977,0.354,0.3714,3.57,1,Early-Rot
0.0118,0.0796,0.0443,0.0377,0.0873,0.0833,0.0543,0.1844,0.0888,0.3038,0.3309,0.336,0.413,0.3126,0.5045,0.43,0.3975,0.4805,3.39,1,Early-Rot
0.0055,0.0,0.0752,0.0051,0.133,0.0,0.164,0.1223,0.1617,0.2174,0.3183,0.3578,0.4751,0.4179,0.4478,0.4167,0.431,0.4291,3.24,1,Early-Rot
0.0076,0.0807,0.0593,0.0446,0.0569,0.0787,0.0448,0.0575,0.1834,0.1852,0.3189,0.2242,0.4692,0.4456,0.4556,0.5172,0.5547,0.4781,3.22,1,Early-Rot
0.0099,0.0319,0.054,0.0699,0.0242,0.0709,0.0333,0.0684,0.0647,0.1893,0.2048,0.2825,0.4711,0.3359,0.6296,0.4807,0.4483,0.3482,3.61,1,Early-Rot
0.0336,0.0586,0.1468,0.0478,0.1065,0.0281,0.0717,0.2245,0.1224,0.3927,0.3384,0.3157,0.4375,0.4842,0.4824,0.3266,0.3828,0.3906,3.49,1,Early-Rot
0.0738,0.0605,0.0042,0.0649,0.0828,0.0889,0.1312,0.1631,0.2029,0.2527,0.1847,0.3953,0.4035,0.4301,0.3433,0.3631,0.5107,0.405,3.6,1,Early-Rot
0.0539,0.0553,0.0874,0.0326,0.0603,0.0397,0.0504,0.0882,0.1854,0.2224,0.3739,0.289,0.372,0.3752,0.5428,0.4585,0.5092,0.3048,3.54,1,Early-Rot
0.0829,0.0571,0.0921,0.0326,0.1179,0.1726,0.0542,0.0793,0.2766,0.3754,0.2585,0.3271,0.3644,0.3054,0.3695,0.3689,0.3799,0.4054,3.54,1,Early-Rot
0.1051,0.0186,0.0891,0.0435,0.0539,0.0944,0.0137,0.1335,0.1812,0.2946,0.3112,0.5578,0.336,0.3682,0.3912,0.4024,0.3893,0.4902,3.71,1,Early-Rot
0.0337,0.0245,0.0703,0.0313,0.0838,0.0717,0.0,0.2098,0.302,0.2124,0.2673,0.3837,0.4137,0.4599,0.5841,0.4306,0.3777,0.3121,3.39,1,Early-Rot
0.0518,0.1182,0.0341,0.0593,0.0553,0.1192,0.2083,0.0737,0.1326,0.3356,0.3367,0.5089,0.4336,0.3814,0.4801,0.5266,0.494,0.4429,3.66,1,Early-Rot
0.0923,0.1035,0.0768,0.0452,0.0625,0.12,0.03,0.1326,0.1398,0.2601,0.3754,0.3761,0.3907,0.3043,0.4915,0.492,0.5904,0.3864,3.53,1,Early-Rot
0.0613,0.1105,0.0496,0.0613,0.0827,0.0709,0.0498,0.1212,0.2485,0.1816,0.3011,0.3046,0.4824,0.2917,0.3959,0.472,0.5475,0.4032,3.42,1,Early-Rot
0.1163,0.0025,0.0,0.0671,0.0341,0.0127,0.1113,0.1244,0.1271,0.1628,0.349,0.4129,0.379,0.5516,0.3585,0.3299,0.3854,0.4046,3.54,1,Early-Rot
0.0448,0.0668,0.0072,0.1032,0.0525,0.1157,0.0918,0.1384,0.2111,0.2912,0.3341,0.4674,0.4027,0.4638,0.4303,0.5514,0.3865,0.5326,3.49,1,Early-Rot
0.0048,0.0588,0.0281,0.0815,0.0274,0.0404,0.0,0.0788,0.0,0.1402,0.3418,0.4238,0.4209,0.3346,0.4333,0.4436,0.3519,0.512,3.63,1,Early-Rot
0.0455,0.0552,0.0607,0.0,0.0452,0.0291,0.0202,0.09,0.3021,0.3056,0.2554,0.4067,0.4987,0.4805,0.4412,0.3955,0.4852,0.435,3.63,1,Early-Rot
0.0743,0.0916,0.0335,0.0987,0.0647,0.1619,0.0368,0.2222,0.1836,0.2095,0.2611,0.3351,0.4208,0.4495,0.3948,0.442,0.5889,0.5275,3.57,1,Early-Rot
0.0542,0.0585,0.0755,0.0144,0.0448,0.0,0.0948,0.1509,0.1331,0.375,0.2129,0.2433,0.4049,0.4899,0.5602,0.4096,0.5125,0.4051,3.47,1,Early-Rot
0.0827,0.0775,0.0,0.1044,0.1166,0.0318,0.0947,0.1408,0.1882,0.217,0.2489,0.3587,0.4806,0.4511,0.4097,0.5014,0.2305,0.4874,3.24,1,Early-Rot
0.0407,0.0143,0.0057,0.093,0.0356,0.0786,0.0711,0.1397,0.1746,0.1626,0.3571,0.3212,0.2626,0.3761,0.5467,0.5073,0.41,0.3835,3.45,1,Early-Rot
0.1228,0.0678,0.0688,0.0883,0.0665,0.0495,0.0631,0.1038,0.1661,0.3121,0.2958,0.4196,0.3805,0.4152,0.2905,0.5122,0.4599,0.4769,3.07,1,Early-Rot
0.1232,0.0492,0.0936,0.0137,0.0829,0.0112,0.0403,0.2338,0.1548,0.2741,0.3489,0.4006,0.399,0.4373,0.6129,0.4395,0.4495,0.4806,3.67,1,Early-Rot
0.0929,0.077,0.0112,0.1101,0.0058,0.0765,0.0334,0.1042,0.1933,0.2818,0.3198,0.4902,0.4232,0.3903,0.5074,0.5326,0.3469,0.4492,3.61,1,Early-Rot
0.0397,0.1064,0.0462,0.0574,0.054,0.0737,0.0204,0.0116,0.3035,0.1295,0.1287,0.0588,0.227,0.1899,0.4852,0.4449,0.2937,0.5078,3.05,2,Severe-Rot
0.0387,0.0,0.1457,0.0,0.0,0.1292,0.2383,0.2287,0.2132,0.2562,0.269,0.3363,0.3143,0.3204,0.3377,0.2891,0.3282,0.1857,2.89,2,Severe-Rot
0.0141,0.0083,0.0596,0.1081,0.1083,0.0,0.0269,0.1946,0.0777,0.1842,0.2459,0.1717,0.2976,0.1889,0.2911,0.3839,0.2169,0.3599,2.9,2,Severe-Rot
0.0712,0.0608,0.1079,0.0574,0.0412,0.0796,0.1214,0.126,0.1673,0.1422,0.1536,0.1303,0.4536,0.1972,0.2831,0.2922,0.4279,0.2998,3.09,2,Severe-Rot
0.0258,0.063,0.0183,0.1383,0.0034,0.0899,0.127,0.1541,0.1476,0.1925,0.2074,0.25,0.379,0.5129,0.2949,0.2347,0.3445,0.5346,2.78,2,Severe-Rot
0.1115,0.1184,0.0298,0.0752,0.1437,0.0519,0.0754,0.0776,0.0749,0.1468,0.111,0.2672,0.2146,0.3322,0.2085,0.3849,0.4227,0.1611,2.96,2,Severe-Rot
0.0963,0.0041,0.1205,0.0691,0.0275,0.0697,0.1223,0.1281,0.211,0.123,0.217,0.1293,0.2771,0.2282,0.2795,0.4649,0.4445,0.3737,2.74,2,Severe-Rot
0.039,0.1,0.0581,0.1452,0.0822,0.0834,0.0689,0.1326,0.1504,0.2662,0.2769,0.1891,0.1613,0.143,0.3871,0.2582,0.1695,0.3556,3.27,2,Severe-Rot
0.0505,0.0852,0.0556,0.0484,0.1084,0.0568,0.1044,0.147,0.1053,0.2912,0.1908,0.1919,0.3385,0.2287,0.3456,0.3549,0.4441,0.3627,2.9,2,Severe-Rot
0.0811,0.107,0.075,0.0528,0.0,0.014,0.0691,0.0754,0.1474,0.2089,0.2444,0.2572,0.3338,0.3168,0.1721,0.2727,0.3398,0.2251,2.99,2,Severe-Rot
0.1075,0.1002,0.0436,0.1121,0.07,0.0542,0.0501,0.099,0.1298,0.2189,0.2163,0.2642,0.329,0.4197,0.4253,0.2245,0.1355,0.4002,2.69,2,Severe-Rot
0.0424,0.0056,0.0,0.074,0.1004,0.041,0.0,0.0803,0.1981,0.0739,0.218,0.2625,0.3426,0.3218,0.2589,0.4614,0.3386,0.3217,2.76,2,Severe-Rot
0.0343,0.0169,0.0453,0.1209,0.0,0.0,0.1786,0.1062,0.1052,0.2954,0.158,0.4379,0.3519,0.2663,0.5298,0.3022,0.4149,0.3484,3.1,2,Severe-Rot
0.1087,0.0532,0.0216,0.0708,0.0288,0.1839,0.0963,0.0942,0.18,0.0855,0.1302,0.3783,0.2253,0.2152,0.3896,0.4604,0.4129,0.4052,2.79,2,Severe-Rot
0.0,0.1114,0.0392,0.0423,0.1288,0.1035,0.116,0.2888,0.1074,0.2855,0.2084,0.2895,0.4326,0.3573,0.3897,0.4504,0.3211,0.2554,2.74,2,Severe-Rot
0.0,0.1334,0.0074,0.0435,0.0488,0.0898,0.1382,0.1884,0.1127,0.1892,0.2256,0.2403,0.4401,0.3557,0.4067,0.4142,0.4515,0.3387,2.71,2,Severe-Rot
0.0656,0.0262,0.0308,0.0758,0.1243,0.074,0.107,0.2532,0.1849,0.4327,0.2471,0.0962,0.3591,0.3457,0.4547,0.4152,0.3403,0.2239,2.87,2,Severe-Rot
0.0192,0.029,0.0763,0.1192,0.0823,0.0068,0.1153,0.2143,0.1104,0.1922,0.2052,0.1892,0.3491,0.2998,0.3794,0.2773,0.3149,0.3829,2.84,2,Severe-Rot
0.1148,0.0361,0.0615,0.0897,0.0,0.0,0.0,0.2194,0.1154,0.4289,0.1612,0.2815,0.4339,0.4942,0.5215,0.4624,0.4388,0.3723,3.02,2,Severe-Rot
0.0303,0.0196,0.0522,0.0456,0.04,0.1112,0.1468,0.1291,0.2933,0.1035,0.1893,0.1957,0.1105,0.3033,0.3326,0.4894,0.4055,0.2403,3.18,2,Severe-Rot
0.096,0.075,0.0431,0.014,0.044,0.1329,0.2041,0.2409,0.121,0.1055,0.2148,0.0955,0.3183,0.2974,0.3028,0.2148,0.3955,0.2804,2.72,2,Severe-Rot
0.0,0.0509,0.1245,0.1189,0.0398,0.0396,0.1168,0.0455,0.1902,0.2713,0.2974,0.2544,0.2683,0.2306,0.2715,0.3357,0.3831,0.3985,2.78,2,Severe-Rot
0.1061,0.0412,0.0514,0.0224,0.0,0.1216,0.1333,0.1007,0.1697,0.2493,0.0852,0.2135,0.3629,0.1962,0.3685,0.2359,0.3915,0.321,2.66,2,Severe-Rot
0.0939,0.0229,0.0193,0.0604,0.1198,0.0167,0.0917,0.1553,0.2245,0.2195,0.1762,0.1851,0.2958,0.2128,0.0903,0.3943,0.4286,0.131,2.75,2,Severe-Rot
0.0737,0.1334,0.0532,0.0232,0.0535,0.1487,0.0481,0.0608,0.1215,0.1201,0.2134,0.4188,0.3182,0.2878,0.3179,0.2176,0.4269,0.3176,2.87,2,Severe-Rot
0.1691,0.0638,0.0217,0.0353,0.1198,0.0791,0.0,0.193,0.1052,0.3687,0.2863,0.2213,0.4091,0.3171,0.4169,0.3985,0.2802,0.2714,3.05,2,Severe-Rot
0.0384,0.036,0.0134,0.0693,0.1654,0.0139,0.0894,0.2309,0.1568,0.2437,0.1233,0.3048,0.2699,0.401,0.4459,0.5844,0.4011,0.3505,2.93,2,Severe-Rot
0.0377,0.0654,0.0403,0.0591,0.1282,0.0172,0.1582,0.2236,0.1534,0.0174,0.1578,0.3875,0.2854,0.2195,0.2994,0.4299,0.3983,0.3044,2.84,2,Severe-Rot
0.0362,0.0154,0.1181,0.0395,0.1232,0.1568,0.1494,0.0891,0.1992,0.2018,0.1353,0.2949,0.1758,0.4194,0.3029,0.3735,0.376,0.3028,2.99,2,Severe-Rot
0.0332,0.0865,0.0,0.0574,0.1592,0.0176,0.0461,0.1618,0.1795,0.2348,0.2413,0.3244,0.3929,0.3483,0.3222,0.4151,0.5131,0.3131,2.75,2,Severe-Rot
